Timestamp,t_ns,source,t_rx_ns,t_unity_ns,offset_ns,seq,label,detail
2026-09-21 21:50:11.454285500,1790027411454285500,unity+offset,1790027411458772300,1790027410811102700,643182800,46,gesture_show,trial=7;rep=1;gesture_idx=3;gesture=Triste
2026-09-21 21:50:11.454359800,1790027411454359800,unity+offset,1790027411459496600,1790027410811177000,643182800,47,countdown_3,trial=7;rep=1;gesture_idx=3;gesture=Triste
2026-09-21 21:50:12.457719500,1790027412457719500,unity+offset,1790027412461886100,1790027411814536700,643182800,48,countdown_2,trial=7;rep=1;gesture_idx=3;gesture=Triste
2026-09-21 21:50:13.459104700,1790027413459104700,unity+offset,1790027413464541700,1790027412815921900,643182800,49,countdown_1,trial=7;rep=1;gesture_idx=3;gesture=Triste
2026-09-21 21:50:14.461575700,1790027414461575700,unity+offset,1790027414465383600,1790027413818392900,643182800,50,hold_start,trial=7;rep=1;gesture_idx=3;gesture=Triste
2026-09-21 21:50:17.461774700,1790027417461774700,unity+offset,1790027417466066900,1790027416818591900,643182800,51,rest_start,reason=after_gesture;trial=7;rep=1;gesture_idx=3;gesture=Triste
2026-09-21 21:50:22.463145100,1790027422463145100,unity+offset,1790027422465794900,1790027421819962300,643182800,52,gesture_show,trial=8;rep=2;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:50:22.463213200,1790027422463213200,unity+offset,1790027422467196200,1790027421820030400,643182800,53,countdown_3,trial=8;rep=2;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:50:23.466196600,1790027423466196600,unity+offset,1790027423470259500,1790027422823013800,643182800,54,countdown_2,trial=8;rep=2;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:50:24.467396,1790027424467396000,unity+offset,1790027424471903600,1790027423824213200,643182800,55,countdown_1,trial=8;rep=2;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:50:25.469414800,1790027425469414800,unity+offset,1790027425474259600,1790027424826232000,643182800,56,hold_start,trial=8;rep=2;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:50:28.469987300,1790027428469987300,unity+offset,1790027428473839900,1790027427826804500,643182800,57,rest_start,reason=after_gesture;trial=8;rep=2;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:50:33.471576900,1790027433471576900,unity+offset,1790027433475471600,1790027432828394100,643182800,58,gesture_show,trial=9;rep=2;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:33.471651800,1790027433471651800,unity+offset,1790027433476642700,1790027432828469000,643182800,59,countdown_3,trial=9;rep=2;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:34.473438300,1790027434473438300,unity+offset,1790027434477990300,1790027433830255500,643182800,60,countdown_2,trial=9;rep=2;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:35.474002400,1790027435474002400,unity+offset,1790027435478077900,1790027434830819600,643182800,61,countdown_1,trial=9;rep=2;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:36.474369700,1790027436474369700,unity+offset,1790027436478210800,1790027435831186900,643182800,62,hold_start,trial=9;rep=2;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:39.474920,1790027439474920000,unity+offset,1790027439479188800,1790027438831737200,643182800,63,rest_start,reason=after_gesture;trial=9;rep=2;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:44.475857800,1790027444475857800,unity+offset,1790027444480189500,1790027443832675000,643182800,64,gesture_show,trial=10;rep=2;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:44.475926,1790027444475926000,unity+offset,1790027444480536700,1790027443832743200,643182800,65,countdown_3,trial=10;rep=2;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:45.478128100,1790027445478128100,unity+offset,1790027445482004100,1790027444834945300,643182800,66,countdown_2,trial=10;rep=2;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:46.479153700,1790027446479153700,unity+offset,1790027446484898300,1790027445835970900,643182800,67,countdown_1,trial=10;rep=2;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:47.480110900,1790027447480110900,unity+offset,1790027447485966800,1790027446836928100,643182800,68,hold_start,trial=10;rep=2;gesture_idx=2;gesture=Sorprendido
